relevance_score,source_count,ieee_authors,title,venue,year,citations,doi,url,abstract,keywords,tldr,recency_boosted
500,5,R. Barbara,الشعر الفاطمي بين المعاني الدنيوية والعقائدية‎,Google Scholar,2010,0,,https://search.proquest.com/openview/82fe77d8f15b2b9e2e10508917ef76d1/1?pq-origsite=gscholar&cbl=2026366&diss=y,Abstract not available.,,,
120,1,M. Drif,"&lt;div&gt;
 تحديات حكامة ندرة الماء في المغرب في ضوء أطروحة مأساة المشترك (Challenges of Water Scarcity Governance in Morocco in Light of the ""Tragedy of the Commons"" Thesis)
&lt;/div&gt;",SSRN Electronic Journal,2025,0,10.2139/ssrn.5624490,https://www.semanticscholar.org/paper/1825163943da05717fc95a59479502b73c135f79,Abstract not available.,,,True
120,1,O. Eid,التكنولوجيا المالية في فلسطين (Enhancing Financial Inclusion in Palestine),SSRN Electronic Journal,2023,0,10.2139/ssrn.4525723,https://www.semanticscholar.org/paper/6ecd7e0aff80b6be872e7e5a4be2e21ed85ab5e4,Abstract not available.,,,True
120,1,Y. Maqsood,"‫التأمين التجاري"" حقيقته وتكييفه وحكمه في الشريعة‬"" CONVENTIONAL INSURANCE",SSRN Electronic Journal,2025,0,10.2139/ssrn.5386564,https://doi.org/10.2139/ssrn.5386564,Abstract not available.,,,True
120,1,Unknown Author,الاختلالات البنيوية لمدخلات الازمة السياسية في العراق  – المقترحات والحلول -,Journal Ishraqat Tanmawya,2024,0,10.51424/ishq.38.8,https://doi.org/10.51424/ishq.38.8,Abstract not available.,,,True
120,1,أ.د. سحر جبار يعقوب and الباحث/ سليم جميل اسماعيل,‏الجزاءات الإدارية الحاكمة  في مجال معالجة هدر المياه في العراق,مجلة المعهد,2024,0,10.61353/ma.0170017,https://doi.org/10.61353/ma.0170017,Abstract not available.,,,True
120,1,أ.م.د. إبراهيم حربي إبراهيم,سياسة تجارة البشر الدولية في العراق بعد عام 2003 الدوافع والحلول,مجلة المعهد,2025,0,10.61353/ma.0180057,https://doi.org/10.61353/ma.0180057,Abstract not available.,,,True
120,1,ع. البغدادي,المياه الجوفية في العراق,Al-Adab Journal,2021,0,10.31973/aj.v0i2.1861,https://doi.org/10.31973/aj.v0i2.1861,Abstract not available.,,,True
120,1,ز. العبيدي,مشروع سد الجزرة التركي وأثره على تفاقم أزمة المياه في العراق,مجلة العلوم الانسانية,2025,0,10.33855/0905-032-001-045,https://doi.org/10.33855/0905-032-001-045,Abstract not available.,,,True
120,1,خ. سلمان,زهرة النيل وآثار على المياه السطحية في العراق وسبل معالجتها,مجلة مركز بابل للدراسات الإنسانية,2023,0,10.33843/1152-013-004-060,https://doi.org/10.33843/1152-013-004-060,Abstract not available.,,,True
